id,depth,동작,예상,tree_flag,verdict,req_section,evidence,dup_status
1234311111,10,fresh agent prompt가 표시됨,"사용자는 새 요청 입력, 기존 session 확인, 종료 중 하나를 선택",continue,BACKED,§1.8 Q0261 Q0262 Q0540 Q0541,"Terminal/session creation should support Claude, Shell, Codex",
1234311112,10,fresh session에서 Xpair 범위 밖 기능으로 이동함,접근 불가,terminate,UNSPECIFIED,-,no requirement on this UI detail,
1234321110,10,attach 성공 직후 terminal을 닫음,기존 `_1`은 다시 detached 상태로 남음,terminate,UNSPECIFIED,-,no direct requirement,
1234321111,10,기존 agent prompt 또는 출력이 표시됨,"사용자는 기존 작업 입력, 대기, 종료 중 하나를 선택",continue,UNSPECIFIED,-,no direct requirement,
1234321112,10,사용자가 takeover 대신 새 대화를 원함,fresh 시작 흐름으로 이동,route to: 123431,UNSPECIFIED,-,too specific for requirements,
1234321210,10,attach 성공 직후 terminal을 닫음,기존 `_1`은 다시 detached 상태로 남음,terminate,UNSPECIFIED,-,no direct requirement,
1234321211,10,기존 agent prompt 또는 출력이 표시됨,"사용자는 기존 작업 입력, 대기, 종료 중 하나를 선택",continue,UNSPECIFIED,-,no direct requirement,
1234321212,10,사용자가 takeover 대신 새 대화를 원함,fresh 시작 흐름으로 이동,route to: 123431,UNSPECIFIED,-,too specific for requirements,
1234332110,10,생성 중 사용자가 중단함,attach 없이 종료하고 생성된 session이 있으면 detached 상태로 남을 수 있음,terminate,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1234332111,10,새 session 생성과 attach가 성공함,사용자는 stale provider와 관계없는 새 agent shell을 봄,route to: 21151,BACKED,§1.6 Q0056,launching/attaching persistent host sessions from the client,
1234332112,10,tmux 생성 또는 attach가 실패함,실패 안내를 보이고 session 사용 화면으로 넘어가지 않음,route to: 314,UNSPECIFIED,-,no direct requirement,
1234332210,10,attach 중 사용자가 중단함,기존 `_1`은 detached 상태로 남거나 attach가 끊김,terminate,BACKED,§1.6 Q0061,Detached/orphaned session handling is part of the launcher requirement,
1234332211,10,detached `_1` take-over attach가 성공함,사용자는 기존 `_1` session 화면으로 돌아감,route to: 21151,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1234332212,10,attach가 실패함,실패 안내를 보이고 session 사용 화면으로 넘어가지 않음,route to: 314,UNSPECIFIED,-,no requirement on this UI detail,
1234332310,10,생성 중 사용자가 중단함,attach 없이 종료하고 기존 live attached session은 유지,terminate,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1234332311,10,attached 충돌 회피용 `_2` 이상 fresh attach가 성공함,기존 attached session은 유지되고 사용자는 새 번호의 blank agent shell을 봄,route to: 21151,UNSPECIFIED,-,no direct requirement,
1234332312,10,tmux 생성 또는 attach가 실패함,실패 안내를 보이고 session 사용 화면으로 넘어가지 않음,route to: 314,UNSPECIFIED,-,no direct requirement,
1311111110,10,제출 직후 terminal editor를 닫음,host tmux session은 detached 상태로 남고 작업은 host에서 계속될 수 있음,terminate,BACKED,"§1.6 Q0061,Q0062,Q0063",Detached/orphaned session handling is part of the launcher requirement,
1311111111,10,agent가 응답을 생성 중임,"사용자는 대기, 중단, 추가 입력 시도 중 하나를 선택",continue,UNSPECIFIED,-,no direct requirement,
1311111112,10,사용자가 terminal scrollback을 확인함,과거 출력 확인만 가능하고 session 상태는 유지,route to: 13111112,UNSPECIFIED,-,too specific for requirements,
1311111113,10,사용자가 Xpair 범위 밖의 VSCodium 기능으로 이동함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1311111120,10,중단 키 입력 직후 terminal editor를 닫음,host 세션은 detached 상태로 남거나 prompt 상태를 유지,terminate,BACKED,"§1.6 Q0061,Q0062,Q0063",Detached/orphaned session handling is part of the launcher requirement,
1311111121,10,실행 중인 foreground 작업이 있음,중단 입력이 작업에 전달되고 결과를 기다림,continue,UNSPECIFIED,-,no direct requirement for this state,
1311111122,10,실행 중 작업이 없음,prompt 상태만 유지되고 세션 변화 없음,continue,UNSPECIFIED,-,no direct requirement for branch,
1311111123,10,사용자가 Xpair 범위 밖의 VSCodium 기능으로 이동함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1311111210,10,최신 prompt를 보고 아무 입력도 하지 않음,세션 상태 변화 없음,terminate,UNSPECIFIED,-,not directly specified,
1311111211,10,terminal focus가 최신 prompt에 있음,"사용자는 메시지, 중단 키, scrollback 확인을 선택할 수 있음",continue,UNSPECIFIED,-,no direct requirement,
1311111212,10,사용자가 terminal editor 탭을 닫음,attached 표시가 닫히고 host 세션은 detached 상태로 남아야 함,route to: 131113,BACKED,"§1.6 Q0061,Q0062,Q0063",Detached/orphaned session handling is part of the launcher requirement,
1311111213,10,사용자가 Xpair 범위 밖의 VSCodium 기능으로 이동함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1311211110,10,입력 직후 terminal을 닫음,attach를 닫고 host session은 계속 실행 또는 detached 상태로 남음,terminate,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1311211111,10,agent가 응답을 시작함,"사용자는 출력 확인, 추가 입력, 중단을 선택할 수 있음",continue,UNSPECIFIED,-,no direct requirement,
1311211112,10,사용자가 terminal scrollback을 확인함,출력 확인만 가능하고 session 상태는 바뀌지 않음,route to: 1311215,UNSPECIFIED,-,too specific for requirements,
1311211113,10,입력 내용이 Xpair와 무관한 일반 shell 조작임,Xpair userflow에서는 접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this state,
1311211210,10,응답 출력 중 terminal을 닫음,attach를 닫고 host session은 계속 실행 또는 detached 상태로 남음,terminate,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1311211211,10,사용자가 응답 출력을 계속 확인함,"응답 완료, 중단, 추가 입력 시도로 분기",continue,UNSPECIFIED,-,no direct requirement for this UI detail,
1311211212,10,사용자가 terminal scrollback을 확인함,출력 확인만 가능하고 session 상태는 유지,route to: 1311215,UNSPECIFIED,-,too specific for requirements,
1311211213,10,응답 대기 중 VSCodium 기본 terminal 기능으로 빠짐,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this state,
1311211310,10,prompt가 표시된 뒤 terminal을 닫음,attach를 종료하고 Sessions 목록 갱신 대상으로 남김,terminate,UNSPECIFIED,-,not directly specified,
1311211311,10,사용자가 새 메시지를 입력함,같은 session으로 추가 입력이 전달됨,route to: 131121111,BACKED,§1.8 Q0261,"Terminal/session creation should support Claude, Shell, Codex",
1311211312,10,사용자가 Sessions 패널로 돌아감,terminal focus는 유지하거나 잃고 Sessions 탭 조작으로 이동,route to: 1311213,BACKED,§1.8 Q0480,Sessions is the primary container.,
1311211313,10,사용자가 terminal scrollback을 확인함,출력 확인만 가능하고 session 상태는 유지,route to: 1311215,UNSPECIFIED,-,too specific for requirements,
1311211314,10,사용자가 prompt 상태에서 계속 대기함,같은 session prompt를 유지,continue,UNSPECIFIED,-,no direct requirement for this branch,duplicate-ok
1311211315,10,중단 후 Xpair 밖의 terminal 설정을 조작함,접근 불가,terminate,UNSPECIFIED,-,not directly specified,
1311212110,10,attach 성공 직후 terminal을 닫음,attach를 닫고 host session은 detached 상태로 남음,terminate,BACKED,§1.6 Q0061,Detached/orphaned session handling is part of the launcher requirement,
1311212111,10,live session prompt가 표시됨,"사용자는 메시지, prompt 응답, 대기 중 하나를 선택할 수 있음",continue,UNSPECIFIED,-,not directly specified,
1311212112,10,사용자가 Sessions 패널로 돌아감,Sessions 탭 조작으로 이동,route to: 1311213,BACKED,§1.8 Q0480,Sessions is the primary container.,
1311212113,10,사용자가 focused terminal에서 Xpair 밖 terminal 기능을 조작함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1311212210,10,인증 입력 직후 terminal을 닫음,연결 없이 terminal 상태로 돌아가거나 종료,terminate,UNSPECIFIED,-,no direct requirement for this state,
1311212211,10,host 확인이 계속 진행됨,"attach 성공, 새 session 생성, 추가 prompt로 분기",continue,UNSPECIFIED,-,no requirement on this UI detail,
1311212212,10,사용자가 잘못된 인증 값을 다시 입력함,오류를 표시하고 다시 입력하거나 연결을 중단하게 함,terminate,UNSPECIFIED,-,no direct requirement for this UI detail,
1311212213,10,사용자가 Xpair 범위 밖 terminal 기능을 조작함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1311215110,10,입력 직후 terminal을 닫음,attach를 닫고 host session은 계속 실행 또는 detached 상태로 남음,terminate,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1311215111,10,메시지가 제출됨,agent가 응답을 시작하거나 prompt를 표시,continue,UNSPECIFIED,-,no direct requirement,
1311215112,10,사용자가 입력을 취소함,새 요청 없이 prompt 상태 유지,terminate,UNSPECIFIED,-,no direct requirement for this UI detail,
1311215113,10,출력 복사 뒤 외부 편집 기능으로 빠짐,접근 불가,terminate,UNSPECIFIED,-,not directly specified,
1311215210,10,승인 직후 terminal을 닫음,host session은 detached 상태로 남거나 진행 중 작업이 계속될 수 있음,terminate,BACKED,§1.10 Q0103 Q0104 Q0114 Q0129 Q0142,Approve handling must account for permission prompts,
1311215211,10,승인된 작업이 계속 진행됨,"완료, 추가 prompt, 오류, 대기로 분기",continue,BACKED,§1.10 Q0103 Q0104 Q0114 Q0129 Q0142,Approve handling must account for permission prompts,
1311215212,10,사용자가 중단 키를 누름,현재 실행을 중단하고 같은 session prompt로 돌아감,route to: 13112113,UNSPECIFIED,-,no direct requirement for this UI detail,
1311215213,10,사용자가 Xpair 범위 밖 terminal 기능을 조작함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1311215230,10,retry 직후 terminal을 닫음,진행 중인 terminal attach를 닫고 종료,terminate,UNSPECIFIED,-,no direct requirement,
1311215231,10,retry 출력이 시작됨,"성공, 실패, 추가 prompt 중 하나로 분기",continue,UNSPECIFIED,-,no direct requirement,
1311215232,10,사용자가 setup 또는 mapping 복구 명령으로 이동함,Xpair launch 복구 흐름으로 이동,route to: 313,UNSPECIFIED,-,too specific for requirements,
1311215233,10,사용자가 Xpair 범위 밖 terminal 기능을 조작함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1312111110,10,메시지 입력 직후 terminal을 닫음,host 세션은 detached 상태로 남고 요청은 계속될 수 있음,terminate,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1312111111,10,Claude가 응답을 생성 중임,"사용자는 대기, 중단, 추가 prompt 응답 중 하나를 선택",continue,UNSPECIFIED,-,no direct requirement,
1312111112,10,사용자가 terminal scrollback을 확인함,출력 확인만 가능하고 session 상태는 유지,continue,UNSPECIFIED,-,too specific for requirements,duplicate-ok
1312111113,10,복원된 terminal에서 Xpair와 무관한 VSCodium shell 기능을 사용하려 함,접근 불가,terminate,UNSPECIFIED,-,access rule unspecified,
1312111120,10,prompt 응답 직후 terminal을 닫음,host 세션은 detached 상태로 남음,terminate,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1312111121,10,허용을 선택함,attached Claude 세션 조작 가능 상태로 이동,continue,UNSPECIFIED,-,not directly specified,
1312111122,10,거부를 선택함,해당 Claude 작업은 중단되고 세션은 attached 상태로 남음,terminate,UNSPECIFIED,-,no direct requirement,
1312111123,10,확인 프롬프트를 우회하려고 VSCodium 명령 팔레트를 사용함,접근 불가,terminate,UNSPECIFIED,-,not directly specified,
1312111210,10,허용 직후 terminal을 닫음,host 세션은 detached 상태로 남음,terminate,UNSPECIFIED,-,not directly specified,
1312111211,10,attached session prompt가 표시됨,"사용자는 메시지 입력, 추가 prompt 응답, 대기 중 하나를 선택",continue,BACKED,§1.6 Q0056,launching/attaching persistent host sessions from the client,
1312111212,10,사용자가 Xpair와 무관한 VSCodium shell 기능을 사용하려 함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1313111110,10,입력 직후 terminal을 닫음,IDE attach만 닫히고 host 세션은 detached 또는 history에 남음,terminate,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1313111111,10,원격 세션이 응답을 시작함,"출력 완료, 중단, 오류, 대기로 분기",continue,UNSPECIFIED,-,no direct requirement for this state,
1313111112,10,붙은 뒤 Sessions의 Attached 탭을 다시 봄,attached 목록에서 방금 붙은 세션을 확인 가능,route to: 1311,BACKED,§1.6 Q0056 Q0153 Q0154,launching/attaching persistent host sessions from the client,
1313111113,10,붙은 세션 terminal을 닫음,IDE attach만 닫히고 host 세션은 detached 또는 history에 남음,route to: 131113,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1313111310,10,확인 완료 직후 terminal을 닫음,attach 실패 또는 중단 상태로 남음,terminate,UNSPECIFIED,-,not directly specified,
1313111311,10,attach가 재개됨,"성공, 실패, 추가 prompt 중 하나로 분기",continue,UNSPECIFIED,-,no requirement on this UI detail,
1313111312,10,prompt 대신 새 세션 시작으로 우회함,기존 history attach는 중단하고 새 session launch 흐름으로 이동,route to: 1316,UNSPECIFIED,-,not directly specified,
1313111313,10,사용자가 Xpair 범위 밖 terminal 기능을 조작하려 함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1316211110,10,tmux fact 확인 전에 terminal을 닫음,host session 생성 없이 종료,terminate,UNSPECIFIED,-,no direct requirement,
1316211111,10,launcher가 remote tmux session 대상을 확인함,"새 세션, 기존 detached, fresh 번호 중 하나로 분기",continue,UNSPECIFIED,-,not directly specified,
1316211112,10,사용자가 launch terminal 대신 VSCodium 기본 파일 표면을 조작함,Xpair 세션 시작 flow에서는 접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1316212110,10,session 생성 직후 terminal을 닫음,만들어진 session이 detached로 남을 수 있음,terminate,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1316212111,10,terminal이 remote attach transport를 선택함,"mosh가 있으면 mosh, 없으면 ssh TTY로 붙음",continue,UNSPECIFIED,-,no direct requirement,
1316212112,10,attached agent 화면이 표시됨,mapped host path 기준 agent session을 사용할 수 있음,route to: 1316214,BACKED,§1.6 Q0056,launching/attaching persistent host sessions from the client,
1316212210,10,attach 직전 terminal을 닫음,host session은 detached 상태로 유지,terminate,BACKED,§1.6 Q0061,Detached/orphaned session handling is part of the launcher requirement,
1316212211,10,terminal이 remote attach transport를 선택함,"mosh가 있으면 mosh, 없으면 ssh TTY로 붙음",continue,UNSPECIFIED,-,no direct requirement,
1316212212,10,사용자가 기존 session 대신 fresh session을 원함,`_2` 이상 fresh session 생성 흐름으로 이동,route to: 13162123,UNSPECIFIED,-,too specific for requirements,
1316212310,10,fresh session 생성 직후 terminal을 닫음,새 session은 detached 상태로 남을 수 있음,terminate,UNSPECIFIED,-,no requirement on this UI detail,
1316212311,10,terminal이 remote attach transport를 선택함,"mosh가 있으면 mosh, 없으면 ssh TTY로 붙음",continue,UNSPECIFIED,-,no direct requirement,
1316212312,10,attached agent 화면이 표시됨,mapped host path 기준 agent session을 사용할 수 있음,route to: 1316214,BACKED,§1.6 Q0056,launching/attaching persistent host sessions from the client,
1316213110,10,attach 직후 terminal을 닫음,host session은 detached로 남음,terminate,BACKED,§1.6 Q0061,Detached/orphaned session handling is part of the launcher requirement,
1316213111,10,attached agent 화면이 표시됨,mapped host path 기준 agent session을 사용할 수 있음,continue,BACKED,§1.6 Q0056,launching/attaching persistent host sessions from the client,
1316213112,10,사용자가 Xpair 범위 밖의 VSCodium 표면을 조작함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1316213210,10,attach 직후 terminal을 닫음,host session은 detached로 남음,terminate,BACKED,§1.6 Q0061,Detached/orphaned session handling is part of the launcher requirement,
1316213211,10,attached agent 화면이 표시됨,mapped host path 기준 agent session을 사용할 수 있음,continue,BACKED,§1.6 Q0056,launching/attaching persistent host sessions from the client,
1316213212,10,사용자가 Xpair 범위 밖의 VSCodium 표면을 조작함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1316214310,10,승인 직후 terminal을 닫음,host session은 detached로 남거나 진행 중 작업이 계속될 수 있음,terminate,BACKED,§1.10 Q0103 Q0104 Q0114 Q0129 Q0142,Approve handling must account for permission prompts,
1316214311,10,승인된 작업이 계속 진행됨,"완료, 추가 prompt, 오류, 대기로 분기",continue,BACKED,§1.10 Q0103 Q0104 Q0114 Q0129 Q0142,Approve handling must account for permission prompts,
1316214312,10,사용자가 중단 키를 누름,agent 작업은 중단되고 Xpair attach 상태만 남음,terminate,UNSPECIFIED,-,no direct requirement for this UI detail,
1316214313,10,사용자가 Xpair 밖의 VSCodium 기능을 기대함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1316311110,10,펼친 root에서 아무 항목도 선택하지 않음,root 표시만 유지하고 세션 시작 없음,terminate,UNSPECIFIED,-,not directly specified,
1316311111,10,하위 folder 목록이 표시됨,"하위 folder 탐색, New Session Here, favorite만 허용",continue,UNSPECIFIED,-,not directly specified,
1316311112,10,새 Browser root에서 New Session Here를 클릭함,새 root 기준 새 Xpair session 시작 흐름으로 이동,route to: 131621,BACKED,§1.7 Q0041,maps client paths to host paths,
1316311113,10,새 Browser root에서 일반 VSCodium 파일 편집이나 SCM으로 이동함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this UI detail,
1321221310,10,연결 중 overlay만 보고 멈춤,추가 사용자 동작 없이 연결 상태만 유지,terminate,UNSPECIFIED,-,no direct requirement for this state,
1321221311,10,host 설정이 유효해 RD 연결이 시작됨,pin 상태와 무관하게 기존 RD 연결 흐름으로 넘어감,route to: 1322,BACKED,§1.9 Q0346 Q0438 Q0474,Remote Desktop actually works,
1321221312,10,host 설정이 없거나 사용할 수 없음,host 미설정 또는 연결 불가 안내를 보여주고 멈춤,terminate,UNSPECIFIED,-,no requirement on this UI detail,
1321221313,10,오류 overlay가 표시됨,사용자는 refresh 또는 닫기만 선택 가능,route to: 1325,UNSPECIFIED,-,no direct requirement for this state,
1322111110,10,connect 전달 직전 RD를 닫거나 숨김,webview connect를 보내지 않고 tunnel을 정리,terminate,UNSPECIFIED,-,no requirement on this UI detail,
1322111111,10,webview에 signaling URL이 전달됨,"WebSocket 연결, 오류, 대기 중 하나로 분기",continue,UNSPECIFIED,-,no direct requirement,
1322111112,10,사용자가 RD refresh를 누름,현재 tunnel을 끊고 refresh 재연결 흐름으로 이동,route to: 1324,UNSPECIFIED,-,protocol detail unspecified,
1322111113,10,사용자가 RD 밖의 VSCodium 표면을 조작하려 함,Xpair RD flow 밖이므로 접근 불가,terminate,UNSPECIFIED,-,access rule unspecified,
1322111330,10,signaling 응답 가능 직후 RD를 닫음,tunnel과 stream 상태를 정리하고 종료,terminate,UNSPECIFIED,-,no direct requirement,
1322111331,10,webview가 signaling 연결을 다시 시도함,"WebSocket 연결, 오류, 대기 중 하나로 분기",continue,UNSPECIFIED,-,no direct requirement,
1322111332,10,응답 대기 상태에서 refresh를 누름,새 tunnel과 signaling 연결을 다시 시도,route to: 1324,UNSPECIFIED,-,no direct requirement for this state,
1322111333,10,사용자가 RD 밖의 VSCodium 표면을 조작하려 함,Xpair RD flow 밖이므로 접근 불가,terminate,UNSPECIFIED,-,access rule unspecified,
1323112110,10,answer 전송 직후 RD를 닫음,이후 candidate와 frame 처리를 막고 종료,terminate,UNSPECIFIED,-,no direct requirement,
1323112111,10,ICE candidate 교환을 기다림,"candidate, media track, 오류 중 하나로 분기",continue,UNSPECIFIED,-,no direct requirement,
1323112112,10,사용자가 negotiating overlay에서 refresh를 누름,현재 WebSocket을 닫고 새 signaling tunnel로 다시 연결함,route to: 1324,UNSPECIFIED,-,no direct requirement for this branch,
1323112113,10,사용자가 RD 화면에 클릭이나 키 입력을 시도함,"접근 불가, Remote Desktop은 view-only이며 화면 전 입력도 없음",terminate,UNSPECIFIED,-,access rule unspecified,
1323211110,10,대기 중 RD를 닫음,signaling과 tunnel을 정리하고 종료,terminate,UNSPECIFIED,-,no direct requirement,
1323211111,10,다음 signaling 이벤트를 기다림,"media track, 추가 candidate, 오류 중 하나로 분기",continue,UNSPECIFIED,-,no direct requirement,
1323211112,10,사용자가 RD refresh를 누름,기존 연결을 끊고 새 tunnel로 재시도,route to: 1324,UNSPECIFIED,-,protocol detail unspecified,
1323211113,10,사용자가 RD 화면에 입력을 시도함,화면 수신 전에도 remote 입력은 접근 불가,terminate,UNSPECIFIED,-,access rule unspecified,
1323221110,10,candidate 추가 뒤 RD를 닫음,"signaling, peer connection, tunnel을 정리하고 종료",terminate,UNSPECIFIED,-,no requirement on this UI detail,
1323221111,10,사용자가 연결 완료를 기다림,"media track, 추가 candidate, 오류 중 하나로 분기",continue,UNSPECIFIED,-,no direct requirement for this branch,
1323221112,10,사용자가 RD refresh를 누름,현재 연결을 끊고 새 signaling tunnel로 재시도,route to: 1324,UNSPECIFIED,-,protocol detail unspecified,
1323221113,10,사용자가 RD 화면 입력을 시도함,화면 수신 전 입력은 접근 불가,terminate,UNSPECIFIED,-,access rule unspecified,
1323223310,10,다음 이벤트 없이 기다림,negotiating 상태만 유지,terminate,UNSPECIFIED,-,no direct requirement,
1323223311,10,새 ICE candidate가 옴,candidate 처리 흐름으로 이동,route to: 132321,UNSPECIFIED,-,no direct requirement for this UI detail,
1323223312,10,첫 media track이 도착함,host 화면 표시 흐름으로 이동,route to: 13233,UNSPECIFIED,-,not directly specified,
1323223313,10,WebRTC 오류로 해석되는 메시지가 옴,오류 overlay 흐름으로 이동,route to: 1325,UNSPECIFIED,-,no direct requirement,
1323311110,10,frame 갱신 직후 RD를 닫음,이후 frame과 signaling 처리를 멈추고 종료,terminate,UNSPECIFIED,-,no requirement on this UI detail,
1323311111,10,stream이 계속 살아 있음,"다음 frame, refresh, 오류, 입력 시도 중 하나를 기다림",continue,UNSPECIFIED,-,no direct requirement,
1323311112,10,사용자가 host 설정 변경을 시도함,RD 밖 host 설정 흐름으로 이동,route to: 1225,UNSPECIFIED,-,no direct requirement for this branch,
1323311113,10,사용자가 VSCodium 기본 기능으로 빠짐,Xpair RD flow 밖이므로 접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1323311210,10,화면 갱신 뒤 RD를 닫음,tunnel과 stream을 정리하고 종료,terminate,UNSPECIFIED,-,not directly specified,
1323311211,10,view-only 화면 표시를 계속 봄,"다음 frame, refresh, 입력 시도, 오류로 분기",continue,UNSPECIFIED,-,no direct requirement,
1323311212,10,view-only 표시가 사라지거나 제어 가능처럼 보임,"접근 불가, RD는 display-only여야 함",terminate,UNSPECIFIED,-,no direct requirement,
1323311213,10,사용자가 Xpair 범위 밖 VSCodium 기능을 조작함,접근 불가로 종료,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1323321110,10,frame 갱신 중 RD를 닫음,peer 연결과 tunnel을 정리하고 종료,terminate,UNSPECIFIED,-,no requirement on this UI detail,
1323321111,10,화면 갱신이 계속됨,"다음 frame, 오류, refresh, 입력 시도 중 하나를 기다림",continue,UNSPECIFIED,-,not directly specified,
1323321112,10,host 화면 크기나 해상도가 바뀐 frame이 옴,같은 RD video 안에서 표시 영역만 갱신함,route to: 13233212,UNSPECIFIED,-,no requirement on this UI detail,
1323321113,10,사용자가 Xpair 범위 밖 VSCodium 기능을 조작함,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1323321210,10,크기 변경 뒤 RD를 닫음,연결을 정리하고 종료,terminate,UNSPECIFIED,-,not directly specified,
1323321211,10,새 크기로 화면 갱신이 계속됨,"다음 frame, 오류, refresh, 입력 시도 중 하나를 기다림",continue,UNSPECIFIED,-,no requirement on RD state detail,
1323321212,10,host 설정 변경을 시도함,RD 밖 host 설정 흐름으로 이동,route to: 1225,UNSPECIFIED,-,no requirement on this UI detail,
1323321213,10,사용자가 VSCodium 기본 표면으로 빠짐,접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1325321110,10,렌더링 기록 뒤 RD를 닫음,tunnel과 peer 상태를 정리하고 종료,terminate,UNSPECIFIED,-,no direct requirement,
1325321111,10,복구된 stream이 유지됨,"다음 frame, 오류, refresh, 입력 시도 중 하나를 기다림",continue,UNSPECIFIED,-,no direct requirement,
1325321112,10,사용자가 host 설정 변경을 시도함,RD 밖 host 설정 흐름으로 이동,route to: 1225,UNSPECIFIED,-,no direct requirement for this branch,
1325321113,10,사용자가 Xpair 범위 밖 VSCodium 기능을 조작함,접근 불가로 종료,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1325321210,10,추가 frame 뒤 RD를 닫음,연결 정리 후 종료,terminate,UNSPECIFIED,-,not directly specified,
1325321211,10,복구된 화면 갱신이 계속됨,"다음 frame, 오류, refresh, 입력 시도 중 하나를 기다림",continue,BACKED,§1.9 Q0548 Q0552,Remote Desktop must reconnect reliably across launches.,
1325321212,10,사용자가 host 설정 변경을 시도함,RD 밖 host 설정 흐름으로 이동,route to: 1225,UNSPECIFIED,-,no direct requirement for this branch,
1325321213,10,사용자가 Xpair 범위 밖 VSCodium 기능을 조작함,접근 불가로 종료,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1327122140,10,상태 판정 전에 RD를 닫음,panel과 stream 상태를 정리하고 종료,terminate,UNSPECIFIED,-,no direct requirement for this UI detail,
1327122141,10,기존 RD의 상태를 다시 확인함,"연결 중, 화면 표시, 오류, 불명확 상태로 분기",continue,UNSPECIFIED,-,no direct requirement,
1327122142,10,사용자가 RD refresh를 누름,기존 연결을 정리하고 새 연결로 재시도,route to: 1324,BACKED,§1.9 Q0548 Q0552,Remote Desktop must reconnect reliably across launches,
1327122143,10,사용자가 중복 RD 생성을 다시 요구함,"접근 불가, 중복 RD 생성은 차단 대상",terminate,UNSPECIFIED,-,no direct requirement for this UI detail,
1327123240,10,판정 전에 RD 표면을 닫음,panel과 stream 상태를 정리하고 종료,terminate,UNSPECIFIED,-,not directly specified,
1327123241,10,단일 panel 수렴 여부를 확인함,"기존 panel, 새 panel, 중복, 불명확 상태로 분기",continue,UNSPECIFIED,-,no direct requirement,
1327123242,10,사용자가 RD 명령을 다시 실행함,새 탭 없이 기존 RD만 앞으로 가져와야 함,route to: 13273,UNSPECIFIED,-,RD behavior detail unspecified,
1327123243,10,사용자가 VSCodium 기본 탭 관리 기능을 조작하려 함,Xpair RD flow 밖이므로 접근 불가,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1331111110,10,다시 펼친 folder에서 아무 action도 하지 않음,선택과 tree 표시만 유지,terminate,UNSPECIFIED,-,no direct requirement,
1331111111,10,다음 하위 folder 목록이 보임,"nested folder 탐색, New Session Here, favorite만 허용",continue,UNSPECIFIED,-,no direct requirement,
1331111112,10,펼친 위치에 folder 없이 파일만 보임,"파일 편집은 접근 불가, folder 탐색은 더 진행하지 않음",terminate,UNSPECIFIED,-,not directly specified,
1331111113,10,펼친 위치를 읽을 수 없거나 sync가 끊김,오류를 표시하고 Add Root 또는 mapping 복구 흐름으로만 이동 가능,route to: 13312,BACKED,§1.7 Q0041 Q0042 Q0043,maps client paths to host paths,
1333321110,10,하위 folder 목록을 보고 멈춤,root는 추가된 상태로 남고 세션 시작 없음,terminate,UNSPECIFIED,-,not directly specified,
1333321111,10,사용자가 하위 folder를 선택함,선택 folder 기준으로 세션 시작 또는 추가 탐색을 이어갈 수 있음,continue,BACKED,§1.7 Q0041,maps client paths to host paths,
1333321112,10,사용자가 새 root row의 New Session Here를 클릭함,새 root의 host folder 기준 새 Xpair session 시작 흐름으로 이동,route to: 1234,BACKED,§1.8 Q0480,Sessions is the primary container.,
